CMSG_CHANGE_SEATS_ON_CONTROLLED_VEHICLE	0x049B
CMSG_CHANNEL_ANNOUNCEMENTS	0x00A7
CMSG_CHANNEL_BAN	0x00A5
CMSG_CHANNEL_DISPLAY_LIST	0x03D2
CMSG_CHANNEL_INVITE	0x00A3
CMSG_CHANNEL_KICK	0x00A4
CMSG_CHANNEL_LIST	0x009A
CMSG_CHANNEL_MODERATE	0x00A8
CMSG_CHANNEL_MODERATOR	0x009F
CMSG_CHANNEL_MUTE	0x00A1
CMSG_CHANNEL_OWNER	0x009E
CMSG_CHANNEL_PASSWORD	0x009C
CMSG_CHANNEL_SET_OWNER	0x009D
CMSG_CHANNEL_SILENCE_ALL	0x03CD
CMSG_CHANNEL_SILENCE_VOICE	0x03CC
CMSG_CHANNEL_UNBAN	0x00A6
CMSG_CHANNEL_UNMODERATOR	0x00A0
CMSG_CHANNEL_UNMUTE	0x00A2
CMSG_CHANNEL_UNSILENCE_ALL	0x03CF
CMSG_CHANNEL_UNSILENCE_VOICE	0x03CE
CMSG_CHANNEL_VOICE_OFF	0x03D7
CMSG_CHANNEL_VOICE_ON	0x03D6
CMSG_CHARACTER_POINT_CHEAT	0x0223
CMSG_CHAR_CREATE	0x4A36
CMSG_CHAR_CUSTOMIZE	0x0473
CMSG_CHAR_DELETE	0x6425
CMSG_CHAR_ENUM	0x0502
CMSG_CHAR_FACTION_CHANGE	0x04D9
CMSG_CHAR_RACE_CHANGE	0x04F8
CMSG_CHAR_RENAME	0x02C7
CMSG_CHAT_FILTERED	0x0331
CMSG_CHAT_IGNORED	0x0225
CMSG_CHEAT_DUMP_ITEMS_DEBUG_ONLY	0x039A
CMSG_CHEAT_PLAYER_LOGIN	0x03C2
CMSG_CHEAT_PLAYER_LOOKUP	0x03C3
CMSG_CHEAT_SETMONEY	0x0024
CMSG_CHEAT_SET_ARENA_CURRENCY	0x037C
CMSG_CHEAT_SET_HONOR_CURRENCY	0x037B
CMSG_CHECK_LOGIN_CRITERIA	0x04A2
CMSG_CLEAR_CHANNEL_WATCH	0x03F3
CMSG_CLEAR_EXPLORATION	0x0237
CMSG_CLEAR_HOLIDAY_BG_WIN_TIME	0x051A
CMSG_CLEAR_QUEST	0x002C
CMSG_CLEAR_RANDOM_BG_WIN_TIME	0x0519
CMSG_CLEAR_SERVER_BUCK_DATA	0x041C
CMSG_CLEAR_TRADE_ITEM	0x011E
CMSG_COMMENTATOR_ENABLE	0x03B5
CMSG_COMMENTATOR_ENTER_INSTANCE	0x03BC
CMSG_COMMENTATOR_EXIT_INSTANCE	0x03BD
CMSG_COMMENTATOR_GET_MAP_INFO	0x03B7
CMSG_COMMENTATOR_GET_PLAYER_INFO	0x03B9
CMSG_COMMENTATOR_INSTANCE_COMMAND	0x03BE
CMSG_COMMENTATOR_SKIRMISH_QUEUE_COMMAND	0x051B
CMSG_COMPLAIN	0x03C7
CMSG_COMPLETE_ACHIEVEMENT_CHEAT	0x046E
CMSG_COMPLETE_CINEMATIC	0x00FC
CMSG_COMPLETE_MOVIE	0x0465
CMSG_CONTACT_LIST	0x4534
CMSG_CONTROLLER_EJECT_PASSENGER	0x04A9
CMSG_COOLDOWN_CHEAT	0x0028
CMSG_CORPSE_MAP_POSITION_QUERY	0x04B6
CMSG_CREATEGAMEOBJECT	0x0014
CMSG_CREATEITEM	0x0013
CMSG_CREATEMONSTER	0x0011
CMSG_CREATURE_QUERY	0x2706
CMSG_DANCE_QUERY	0x0451
CMSG_DBLOOKUP	0x0002
CMSG_DEBUG_ACTIONS_START	0x0315
CMSG_DEBUG_ACTIONS_STOP	0x0316
CMSG_DEBUG_AISTATE	0x002E
CMSG_DEBUG_CHANGECELLZONE	0x000C
CMSG_DEBUG_LIST_TARGETS	0x03D8
CMSG_DEBUG_PASSIVE_AURA	0x0140
CMSG_DEBUG_SERVER_GEO	0x04FB
CMSG_DECHARGE	0x0204
CMSG_DECLINE_CHANNEL_INVITE	0x0410
CMSG_DELETEEQUIPMENT_SET	0x013E
CMSG_DELETE_DANCE	0x0454
CMSG_DEL_FRIEND	0x6A15
CMSG_DEL_IGNORE	0x6D26
CMSG_DEL_PVP_MEDAL_CHEAT	0x028A
CMSG_DEL_VOICE_IGNORE	0x03DC
CMSG_DESTROYITEM	0x0111
CMSG_DESTROYMONSTER	0x0012
CMSG_DESTROY_ITEMS	0x00B2
CMSG_DISABLE_PVP_CHEAT	0x0030
CMSG_DISMISS_CONTROLLED_VEHICLE	0x046D
CMSG_DISMISS_CRITTER	0x048D
CMSG_DROP_NEW_CONNECTION	0x0513
CMSG_DUEL_ACCEPTED	0x016C
CMSG_DUEL_CANCELLED	0x016D
CMSG_DUMP_OBJECTS	0x048B
CMSG_EMOTE	0x4C26
CMSG_ENABLETAXI	0x0493
CMSG_ENABLE_DAMAGE_LOG	0x027D
CMSG_END_BATTLEFIELD_CHEAT	0x04CC
CMSG_EQUIPMENT_SET_SAVE	0x04BD
CMSG_EQUIPMENT_SET_USE	0x04D5
CMSG_EXPIRE_RAID_INSTANCE	0x0415
CMSG_FAR_SIGHT	0x027A
CMSG_FLAG_QUEST	0x002A
CMSG_FLAG_QUEST_FINISH	0x002B
CMSG_FLOOD_GRACE_CHEAT	0x0497
CMSG_FORCEACTION	0x0018
CMSG_FORCEACTIONONOTHER	0x0019
CMSG_FORCEACTIONSHOW	0x001A
CMSG_FORCE_ANIM	0x04D7
CMSG_FORCE_FLIGHT_BACK_SPEED_CHANGE_ACK	0x0384
CMSG_FORCE_FLIGHT_SPEED_CHANGE_ACK	0x0382
CMSG_FORCE_MOVE_ROOT_ACK	0x00E9
CMSG_FORCE_MOVE_UNROOT_ACK	0x00EB
CMSG_FORCE_PITCH_RATE_CHANGE_ACK	0x045D
CMSG_FORCE_RUN_BACK_SPEED_CHANGE_ACK	0x00E5
CMSG_FORCE_RUN_SPEED_CHANGE_ACK	0x00E3
CMSG_FORCE_SAY_CHEAT	0x047E
CMSG_FORCE_SWIM_BACK_SPEED_CHANGE_ACK	0x02DD
CMSG_FORCE_SWIM_SPEED_CHANGE_ACK	0x00E7
CMSG_FORCE_TURN_RATE_CHANGE_ACK	0x02DF
CMSG_FORCE_WALK_SPEED_CHANGE_ACK	0x02DB
CMSG_GAMEOBJECT_QUERY	0x4017
CMSG_GAMEOBJ_REPORT_USE	0x0481
CMSG_GAMEOBJ_USE	0x00B1
CMSG_GAMESPEED_SET	0x0000
CMSG_GAMETIME_SET	0x0000
CMSG_GETDEATHBINDZONE	0x0156
CMSG_GET_CHANNEL_MEMBER_COUNT	0x03D4
CMSG_GET_MAIL_LIST	0x023A
CMSG_GET_MIRRORIMAGE_DATA	0x0401
CMSG_GHOST	0x01E5
CMSG_GMRESPONSE_CREATE_TICKET	0x04F3
CMSG_GMRESPONSE_RESOLVE	0x04F0
CMSG_GMSURVEY_SUBMIT	0x032A
CMSG_GMTICKETSYSTEM_TOGGLE	0x029A
CMSG_GMTICKET_CREATE	0x0205
CMSG_GMTICKET_DELETETICKET	0x0217
CMSG_GMTICKET_GETTICKET	0x0211
CMSG_GMTICKET_SYSTEMSTATUS	0x021A
CMSG_GMTICKET_UPDATETEXT	0x0207
CMSG_GM_CHARACTER_RESTORE	0x03FA
CMSG_GM_CHARACTER_SAVE	0x03FB
CMSG_GM_CREATE_ITEM_TARGET	0x0210
CMSG_GM_DESTROY_ONLINE_CORPSE	0x0311
CMSG_GM_FREEZE	0x022D
CMSG_GM_GRANT_ACHIEVEMENT	0x04C4
CMSG_GM_INVIS	0x01E6
CMSG_GM_MOVECORPSE	0x022C
CMSG_GM_NUKE	0x01FA
CMSG_GM_NUKE_ACCOUNT	0x030F
CMSG_GM_NUKE_CHARACTER	0x0507
CMSG_GM_REMOVE_ACHIEVEMENT	0x04C5
CMSG_GM_REPORT_LAG	0x0502
