CMSG_SET_WATCHED_FACTION	0x0318
CMSG_SET_WORLDSTATE	0x0027
CMSG_SHOWING_CLOAK	0x02BA
CMSG_SHOWING_HELM	0x02B9
CMSG_SKILL_BUY_RANK	0x0220
CMSG_SKILL_BUY_STEP	0x021F
CMSG_SOCKET_GEMS	0x0347
CMSG_SPELLCLICK	0x03F8
CMSG_SPIRIT_HEALER_ACTIVATE	0x021C
CMSG_SPLIT_ITEM	0x010E
CMSG_STABLE_PET	0x0270
CMSG_STABLE_REVIVE_PET	0x0274
CMSG_STABLE_SWAP_PET	0x0275
CMSG_STANDSTATECHANGE	0x0101
CMSG_START_BATTLEFIELD_CHEAT	0x04CB
CMSG_START_QUEST	0x0489
CMSG_STOP_DANCE	0x044E
CMSG_STORE_LOOT_IN_SLOT	0x0109
CMSG_SUMMON_RESPONSE	0x02AC
CMSG_SUSPEND_COMMS_ACK	0x0510
CMSG_SWAP_INV_ITEM	0x010D
CMSG_SWAP_ITEM	0x010C
CMSG_SYNC_DANCE	0x0450
CMSG_TARGET_CAST	0x03D0
CMSG_TARGET_SCRIPT_CAST	0x03D1
CMSG_TAXICLEARALLNODES	0x01A6
CMSG_TAXICLEARNODE	0x0241
CMSG_TAXIENABLEALLNODES	0x01A7
CMSG_TAXIENABLENODE	0x0242
CMSG_TAXINODE_STATUS_QUERY	0x01AA
CMSG_TAXIQUERYAVAILABLENODES	0x01AC
CMSG_TAXISHOWNODES	0x01A8
CMSG_TELEPORT_TO_UNIT	0x4206
CMSG_TEST_DROP_RATE	0x0294
CMSG_TEXT_EMOTE	0x0104
CMSG_TIME_SYNC_RESP	0x3B0C
CMSG_TOGGLE_PVP	0x0253
CMSG_TOGGLE_XP_GAIN	0x04EC
CMSG_TOTEM_DESTROYED	0x0414
CMSG_TRAINER_BUY_SPELL	0x01B2
CMSG_TRAINER_LIST	0x01B0
CMSG_TRIGGER_CINEMATIC_CHEAT	0x00F8
CMSG_TURN_IN_PETITION	0x01C4
CMSG_TUTORIAL_CLEAR	0x00FF
CMSG_TUTORIAL_FLAG	0x00FE
CMSG_TUTORIAL_RESET	0x0100
CMSG_UNACCEPT_TRADE	0x011B
CMSG_UNCLAIM_LICENSE	0x0110
CMSG_UNDRESSPLAYER	0x0020
CMSG_UNITANIMTIER_CHEAT	0x0472
CMSG_UNLEARN_DANCE_MOVE	0x0457
CMSG_UNLEARN_SKILL	0x0202
CMSG_UNLEARN_SPELL	0x0201
CMSG_UNLEARN_TALENTS	0x0213
CMSG_UNSTABLE_PET	0x0271
CMSG_UNUSED5	0x04B8
CMSG_UNUSED6	0x04B9
CMSG_UPDATE_ACCOUNT_DATA	0x4736
CMSG_UPDATE_MISSILE_TRAJECTORY	0x0462
CMSG_UPDATE_PROJECTILE_POSITION	0x04BE
CMSG_USE_ITEM	0x00AB
CMSG_USE_SKILL_CHEAT	0x0029
CMSG_VIOLENCE_LEVEL	0x7816
CMSG_VOICE_SESSION_ENABLE	0x03AF
CMSG_VOICE_SET_TALKER_MUTED_REQUEST	0x03A1
CMSG_WARDEN_DATA	0x25A2
CMSG_WEATHER_SPEED_CHEAT	0x001F
CMSG_WHO	0x6C15
CMSG_WHOIS	0x6B05
CMSG_WORLD_STATE_UI_TIMER_UPDATE	0x04F6
CMSG_WORLD_TELEPORT	0x24B2
CMSG_WRAP_ITEM	0x01D3
CMSG_XP_CHEAT	0x0221
CMSG_ZONEUPDATE	0x01F4
CMSG_ZONE_MAP	0x000A
MSG_AUCTION_HELLO	0x0255
MSG_BATTLEGROUND_PLAYER_POSITIONS	0x02E9
MSG_CHANNEL_START	0x0139
MSG_CHANNEL_UPDATE	0x013A
MSG_CORPSE_QUERY	0x0216
MSG_DELAY_GHOST_TELEPORT	0x032E
MSG_DEV_SHOWLABEL	0x02AD
MSG_GM_ACCOUNT_ONLINE	0x026E
MSG_GM_BIND_OTHER	0x01E8
MSG_GM_CHANGE_ARENA_RATING	0x040F
MSG_GM_DESTROY_CORPSE	0x0310
MSG_GM_GEARRATING	0x03B4
MSG_GM_RESETINSTANCELIMIT	0x033C
MSG_GM_SHOWLABEL	0x01EF
MSG_GM_SUMMON	0x01E9
MSG_GUILD_BANK_LOG_QUERY	0x03EE
MSG_GUILD_BANK_MONEY_WITHDRAWN	0x03FE
MSG_GUILD_EVENT_LOG_QUERY	0x03FF
MSG_GUILD_PERMISSIONS	0x03FD
MSG_INSPECT_ARENA_TEAMS	0x0377
MSG_INSPECT_HONOR_STATS	0x02D6
MSG_LIST_STABLED_PETS	0x026F
MSG_MINIMAP_PING	0x01D5
MSG_MOVE_FALL_LAND	0x00C9
MSG_MOVE_FEATHER_FALL	0x02B0
MSG_MOVE_GRAVITY_CHNG	0x04D2
MSG_MOVE_HEARTBEAT	0x00EE
MSG_MOVE_HOVER	0x00F7
MSG_MOVE_JUMP	0x00BB
MSG_MOVE_KNOCK_BACK	0x00F1
MSG_MOVE_ROOT	0x00EC
MSG_MOVE_SET_ALL_SPEED_CHEAT	0x00D6
MSG_MOVE_SET_COLLISION_HGT	0x0518
MSG_MOVE_SET_FACING	0x00DA
MSG_MOVE_SET_FLIGHT_BACK_SPEED	0x0380
MSG_MOVE_SET_FLIGHT_BACK_SPEED_CHEAT	0x037F
MSG_MOVE_SET_FLIGHT_SPEED	0x037E
MSG_MOVE_SET_FLIGHT_SPEED_CHEAT	0x037D
MSG_MOVE_SET_PITCH	0x00DB
MSG_MOVE_SET_PITCH_RATE	0x045B
MSG_MOVE_SET_PITCH_RATE_CHEAT	0x045A
MSG_MOVE_SET_RUN_BACK_SPEED	0x00CF
MSG_MOVE_SET_RUN_BACK_SPEED_CHEAT	0x00CE
MSG_MOVE_SET_RUN_MODE	0x00C2
MSG_MOVE_SET_RUN_SPEED	0x00CD
MSG_MOVE_SET_RUN_SPEED_CHEAT	0x00CC
MSG_MOVE_SET_SWIM_BACK_SPEED	0x00D5
MSG_MOVE_SET_SWIM_BACK_SPEED_CHEAT	0x00D4
MSG_MOVE_SET_SWIM_SPEED	0x00D3
MSG_MOVE_SET_SWIM_SPEED_CHEAT	0x00D2
MSG_MOVE_SET_TURN_RATE	0x00D8
MSG_MOVE_SET_TURN_RATE_CHEAT	0x00D7
MSG_MOVE_SET_WALK_MODE	0x00C3
MSG_MOVE_SET_WALK_SPEED	0x00D1
MSG_MOVE_SET_WALK_SPEED_CHEAT	0x00D0
MSG_MOVE_START_ASCEND	0x0359
MSG_MOVE_START_BACKWARD	0x00B6
MSG_MOVE_START_DESCEND	0x03A7
MSG_MOVE_START_FORWARD	0x00B5
MSG_MOVE_START_PITCH_DOWN	0x00C0
MSG_MOVE_START_PITCH_UP	0x00BF
MSG_MOVE_START_STRAFE_LEFT	0x00B8
MSG_MOVE_START_STRAFE_RIGHT	0x00B9
MSG_MOVE_START_SWIM	0x00CA
MSG_MOVE_START_SWIM_CHEAT	0x0341
MSG_MOVE_START_TURN_LEFT	0x00BC
MSG_MOVE_START_TURN_RIGHT	0x00BD
MSG_MOVE_STOP	0x00B7
MSG_MOVE_STOP_ASCEND	0x035A
MSG_MOVE_STOP_PITCH	0x00C1
MSG_MOVE_STOP_STRAFE	0x00BA
MSG_MOVE_STOP_SWIM	0x00CB
MSG_MOVE_STOP_SWIM_CHEAT	0x0342
MSG_MOVE_STOP_TURN	0x00BE
MSG_MOVE_TELEPORT	0x00C5
MSG_MOVE_TELEPORT_ACK	0x00C7
MSG_MOVE_TELEPORT_CHEAT	0x00C6
MSG_MOVE_TIME_SKIPPED	0x0319
MSG_MOVE_TOGGLE_COLLISION_CHEAT	0x00D9
MSG_MOVE_TOGGLE_FALL_LOGGING	0x00C8
MSG_MOVE_TOGGLE_LOGGING	0x00C4
MSG_MOVE_UNROOT	0x00ED
MSG_MOVE_UPDATE_CAN_FLY	0x03AD
MSG_MOVE_UPDATE_CAN_TRANSITION_BETWEEN_SWIM_AND_FLY	0x034A
MSG_MOVE_WATER_WALK	0x02B1
MSG_MOVE_WORLDPORT_ACK	0x00DC
MSG_NOTIFY_PARTY_SQUELCH	0x03DF
MSG_PARTY_ASSIGNMENT	0x038E
MSG_PETITION_DECLINE	0x01C2
MSG_PETITION_RENAME	0x02C1
MSG_PVP_LOG_DATA	0x02E0
MSG_QUERY_GUILD_BANK_TEXT	0x040A
MSG_QUERY_NEXT_MAIL_TIME	0x0284
MSG_QUEST_PUSH_RESULT	0x0276
MSG_RAID_READY_CHECK	0x0322
MSG_RAID_READY_CHECK_CONFIRM	0x03AE
MSG_RAID_READY_CHECK_FINISHED	0x03C6
MSG_RAID_TARGET_UPDATE	0x0321
MSG_RANDOM_ROLL	0x01FB
MSG_SAVE_GUILD_EMBLEM	0x01F1
MSG_SET_DUNGEON_DIFFICULTY	0x4925
MSG_SET_RAID_DIFFICULTY	0x04EB
MSG_TABARDVENDOR_ACTIVATE	0x01F2
MSG_TALENT_WIPE_CONFIRM	0x02AA
MSG_VIEW_PHASE_SHIFT	0x04F9
SMSG_ACCOUNT_DATA_TIMES	0x4B05
SMSG_ACHIEVEMENT_DELETED	0x049F
SMSG_ACHIEVEMENT_EARNED	0x0468
SMSG_ACTIVATETAXIREPLY	0x01AE
SMSG_ADDON_INFO	0x2C14
SMSG_ADD_RUNE_POWER	0x0488
SMSG_AFK_MONITOR_INFO_RESPONSE	0x0504
SMSG_AI_REACTION	0x013C
SMSG_ALL_ACHIEVEMENT_DATA	0x58B1
SMSG_AREA_SPIRIT_HEALER_TIME	0x02E4
SMSG_AREA_TRIGGER_MESSAGE	0x02B8
SMSG_ARENA_ERROR	0x0376
SMSG_ARENA_TEAM_CHANGE_FAILED_QUEUED	0x04C8
SMSG_ARENA_TEAM_COMMAND_RESULT	0x0349
SMSG_ARENA_TEAM_EVENT	0x0357
SMSG_ARENA_TEAM_INVITE	0x0350
SMSG_ARENA_TEAM_QUERY_RESPONSE	0x034C
SMSG_ARENA_TEAM_ROSTER	0x034E
SMSG_ARENA_TEAM_STATS	0x035B
SMSG_ARENA_UNIT_DESTROYED	0x04C7
SMSG_ATTACKERSTATEUPDATE	0x014A
SMSG_ATTACKSTART	0x0143
SMSG_ATTACKSTOP	0x0144
SMSG_ATTACKSWING_BADFACING	0x0146
SMSG_ATTACKSWING_CANT_ATTACK	0x0149
SMSG_ATTACKSWING_DEADTARGET	0x0148
SMSG_ATTACKSWING_NOTINRANGE	0x0145
SMSG_AUCTION_BIDDER_LIST_RESULT	0x0265
SMSG_AUCTION_BIDDER_NOTIFICATION	0x025E
SMSG_AUCTION_COMMAND_RESULT	0x025B
SMSG_AUCTION_LIST_PENDING_SALES	0x0490
SMSG_AUCTION_LIST_RESULT	0x025C
SMSG_AUCTION_OWNER_LIST_RESULT	0x025D
SMSG_AUCTION_OWNER_NOTIFICATION	0x025F
SMSG_AUCTION_REMOVED_NOTIFICATION	0x028D
SMSG_AURACASTLOG	0x01D1
SMSG_AURA_UPDATE	0x0496
SMSG_AURA_UPDATE_ALL	0x6916
SMSG_AUTH_CHALLENGE	0x4542
SMSG_AUTH_RESPONSE	0x5DB6
SMSG_AUTH_SRP6_RESPONSE	0x0039
SMSG_AVAILABLE_VOICE_CHANNEL	0x03DA
SMSG_BARBER_SHOP_RESULT	0x0428
SMSG_BATTLEFIELD_LIST	0x023D
SMSG_BATTLEFIELD_MGR_EJECTED	0x04E6
SMSG_BATTLEFIELD_MGR_EJECT_PENDING	0x04E5
SMSG_BATTLEFIELD_MGR_ENTERED	0x04E0
SMSG_BATTLEFIELD_MGR_ENTRY_INVITE	0x04DE
SMSG_BATTLEFIELD_MGR_QUEUE_INVITE	0x04E1
SMSG_BATTLEFIELD_MGR_QUEUE_REQUEST_RESPONSE	0x04E4
SMSG_BATTLEFIELD_MGR_STATE_CHANGE	0x04E8
SMSG_BATTLEFIELD_PORT_DENIED	0x014B
SMSG_BATTLEFIELD_STATUS	0x02D4
SMSG_BATTLEGROUND_INFO_THROTTLED	0x04A6
SMSG_BATTLEGROUND_PLAYER_JOINED	0x02EC
SMSG_BATTLEGROUND_PLAYER_LEFT	0x02ED
SMSG_BINDER_CONFIRM	0x02EB
SMSG_BINDZONEREPLY	0x0157
SMSG_BIND_POINT_UPDATE	0x0527
SMSG_BREAK_TARGET	0x0152
SMSG_BUY_BANK_SLOT_RESULT	0x01BA
SMSG_BUY_FAILED	0x01A5
SMSG_BUY_ITEM	0x01A4
SMSG_CALENDAR_ARENA_TEAM	0x0439
SMSG_CALENDAR_CLEAR_PENDING_ACTION	0x04BB
SMSG_CALENDAR_COMMAND_RESULT	0x043D
SMSG_CALENDAR_EVENT_INVITE	0x043A
SMSG_CALENDAR_EVENT_INVITE_ALERT	0x0440
SMSG_CALENDAR_EVENT_INVITE_NOTES	0x0460
SMSG_CALENDAR_EVENT_INVITE_NOTES_ALERT	0x0461
SMSG_CALENDAR_EVENT_INVITE_REMOVED	0x043B
SMSG_CALENDAR_EVENT_INVITE_REMOVED_ALERT	0x0441
SMSG_CALENDAR_EVENT_INVITE_STATUS_ALERT	0x0442
SMSG_CALENDAR_EVENT_MODERATOR_STATUS_ALERT	0x0445
SMSG_CALENDAR_EVENT_REMOVED_ALERT	0x0443
SMSG_CALENDAR_EVENT_STATUS	0x043C
SMSG_CALENDAR_EVENT_UPDATED_ALERT	0x0444
SMSG_CALENDAR_FILTER_GUILD	0x0438
SMSG_CALENDAR_RAID_LOCKOUT_ADDED	0x043E
SMSG_CALENDAR_RAID_LOCKOUT_REMOVED	0x043F
SMSG_CALENDAR_RAID_LOCKOUT_UPDATED	0x0471
SMSG_CALENDAR_SEND_CALENDAR	0x0436
SMSG_CALENDAR_SEND_EVENT	0x0437
SMSG_CALENDAR_SEND_NUM_PENDING	0x0448
SMSG_CAMERA_SHAKE	0x050A
SMSG_CANCEL_AUTO_REPEAT	0x029C
SMSG_CANCEL_COMBAT	0x014E
SMSG_CAST_FAILED	0x0130
SMSG_CHANGEPLAYER_DIFFICULTY_RESULT	0x020E
SMSG_CHANNEL_LIST	0x009B
SMSG_CHANNEL_MEMBER_COUNT	0x03D5
SMSG_CHANNEL_NOTIFY	0x0099
SMSG_CHARACTER_LOGIN_FAILED	0x4417
SMSG_CHARACTER_PROFILE	0x0338
SMSG_CHARACTER_PROFILE_REALM_CONNECTED	0x0339
SMSG_CHAR_CREATE	0x2D05
SMSG_CHAR_CUSTOMIZE	0x0474
SMSG_CHAR_DELETE	0x003C
SMSG_CHAR_ENUM	0x10B0
SMSG_CHAR_FACTION_CHANGE	0x04DA
SMSG_CHAR_RENAME	0x02C8
SMSG_CHAT_NOT_IN_PARTY	0x0299
SMSG_CHAT_PLAYER_AMBIGUOUS	0x032D
SMSG_CHAT_PLAYER_NOT_FOUND	0x02A9
SMSG_CHAT_RESTRICTED	0x02FD
SMSG_CHAT_SERVER_MESSAGE	0x0291
SMSG_CHAT_WRONG_FACTION	0x0219
SMSG_CHEAT_DUMP_ITEMS_DEBUG_ONLY_RESPONSE	0x039B
SMSG_CHEAT_DUMP_ITEMS_DEBUG_ONLY_RESPONSE_WRITE_FILE	0x039C
SMSG_CHEAT_PLAYER_LOOKUP	0x03C4
SMSG_CHECK_FOR_BOTS	0x0000
SMSG_CLEAR_COOLDOWN	0x01DE
SMSG_CLEAR_EXTRA_AURA_INFO_OBSOLETE	0x03A6
SMSG_CLEAR_FAR_SIGHT_IMMEDIATE	0x020D
SMSG_CLEAR_TARGET	0x03BF
SMSG_CLIENTCACHE_VERSION	0x2734
SMSG_CLIENT_CONTROL_UPDATE	0x2837
SMSG_COMBAT_EVENT_FAILED	0x0261
SMSG_COMMENTATOR_GET_PLAYER_INFO	0x03BA
SMSG_COMMENTATOR_MAP_INFO	0x03B8
SMSG_COMMENTATOR_PLAYER_INFO	0x03BB
SMSG_COMMENTATOR_SKIRMISH_QUEUE_RESULT1	0x051C
SMSG_COMMENTATOR_SKIRMISH_QUEUE_RESULT2	0x051D
SMSG_COMMENTATOR_STATE_CHANGED	0x03B6
SMSG_COMPLAIN_RESULT	0x03C8
SMSG_COMPRESSED_MOVES	0x02FB
SMSG_COMPRESSED_UPDATE_OBJECT	0x01F6
SMSG_COMSAT_CONNECT_FAIL	0x03E2
SMSG_COMSAT_DISCONNECT	0x03E1
SMSG_COMSAT_RECONNECT_TRY	0x03E0
SMSG_CONTACT_LIST	0x6017
SMSG_CONVERT_RUNE	0x0486
SMSG_COOLDOWN_CHEAT	0x01E1
SMSG_COOLDOWN_EVENT	0x0135
SMSG_CORPSE_MAP_POSITION_QUERY_RESPONSE	0x04B7
SMSG_CORPSE_NOT_IN_INSTANCE	0x0506
SMSG_CORPSE_RECLAIM_DELAY	0x0269
SMSG_CREATURE_QUERY_RESPONSE	0x6024
SMSG_CRITERIA_DELETED	0x049E
SMSG_CRITERIA_UPDATE	0x046A
SMSG_CROSSED_INEBRIATION_THRESHOLD	0x03C1
SMSG_DAMAGE_CALC_LOG	0x027C
SMSG_DANCE_QUERY_RESPONSE	0x0452
SMSG_DBLOOKUP	0x0003
SMSG_DEATH_RELEASE_LOC	0x0378
SMSG_DEBUGAURAPROC	0x024D
SMSG_DEBUG_AISTATE	0x002F
SMSG_DEBUG_LIST_TARGETS	0x03D9
SMSG_DEBUG_SERVER_GEO	0x04FC
SMSG_DEFENSE_MESSAGE	0x033A
SMSG_DESTROY_OBJECT	0x4724
SMSG_DESTRUCTIBLE_BUILDING_DAMAGE	0x4825
SMSG_DISMOUNT	0x03AC
SMSG_DISMOUNTRESULT	0x016F
SMSG_DISPEL_FAILED	0x0262
SMSG_DUEL_COMPLETE	0x016A
SMSG_DUEL_COUNTDOWN	0x02B7
SMSG_DUEL_INBOUNDS	0x0169
SMSG_DUEL_OUTOFBOUNDS	0x0168
SMSG_DUEL_REQUESTED	0x0167
SMSG_DUEL_WINNER	0x016B
SMSG_DUMP_OBJECTS_DATA	0x048C
SMSG_DURABILITY_DAMAGE_DEATH	0x02BD
SMSG_DYNAMIC_DROP_ROLL_RESULT	0x0469
SMSG_ECHO_PARTY_SQUELCH	0x03F6
SMSG_EMOTE	0x0A34
SMSG_ENABLE_BARBER_SHOP	0x0427
SMSG_ENCHANTMENTLOG	0x01D7
SMSG_ENVIRONMENTAL_DAMAGE_LOG	0x01FC
SMSG_EQUIPMENT_SET_LIST	0x2E04
SMSG_EQUIPMENT_SET_SAVED	0x0137
SMSG_EQUIPMENT_SET_USE_RESULT	0x04D6
SMSG_EXPECTED_SPAM_RECORDS	0x0332
SMSG_EXPLORATION_EXPERIENCE	0x01F8
SMSG_FEATURE_SYSTEM_STATUS	0x3DB7
SMSG_FEIGN_DEATH_RESISTED	0x02B4
SMSG_FISH_ESCAPED	0x01C9
SMSG_FISH_NOT_HOOKED	0x01C8
SMSG_FLIGHT_SPLINE_SYNC	0x0388
SMSG_FORCEACTIONSHOW	0x6126
SMSG_FORCED_DEATH_UPDATE	0x037A
SMSG_FORCE_ANIM	0x04D8
SMSG_FORCE_DISPLAY_UPDATE	0x0403
SMSG_FORCE_FLIGHT_BACK_SPEED_CHANGE	0x0383
SMSG_FORCE_FLIGHT_SPEED_CHANGE	0x0381
SMSG_FORCE_MOVE_ROOT	0x00E8
SMSG_FORCE_MOVE_UNROOT	0x00EA
SMSG_FORCE_PITCH_RATE_CHANGE	0x045C
SMSG_FORCE_RUN_BACK_SPEED_CHANGE	0x00E4
SMSG_FORCE_RUN_SPEED_CHANGE	0x00E2
SMSG_FORCE_SEND_QUEUED_PACKETS	0x0511
SMSG_FORCE_SET_VEHICLE_REC_ID	0x023F
SMSG_FORCE_SWIM_BACK_SPEED_CHANGE	0x02DC
SMSG_FORCE_SWIM_SPEED_CHANGE	0x00E6
SMSG_FORCE_TURN_RATE_CHANGE	0x02DE
SMSG_FORCE_WALK_SPEED_CHANGE	0x02DA
SMSG_FRIEND_STATUS	0x0717
SMSG_GAMEOBJECT_CUSTOM_ANIM	0x00B3
SMSG_GAMEOBJECT_DESPAWN_ANIM	0x0215
SMSG_GAMEOBJECT_PAGETEXT	0x01DF
SMSG_GAMEOBJECT_QUERY_RESPONSE	0x0915
SMSG_GAMEOBJECT_RESET_STATE	0x02A7
SMSG_GAMESPEED_SET	0x4E34
SMSG_GAMETIMEBIAS_SET	0x0314
SMSG_GAMETIME_SET	0x0014
SMSG_GAMETIME_UPDATE	0x4127
SMSG_GHOSTEE_GONE	0x0326
SMSG_GMRESPONSE_CREATE_TICKET	0x04F2
SMSG_GMRESPONSE_DB_ERROR	0x04EE
SMSG_GMRESPONSE_RECEIVED	0x04EF
SMSG_GMRESPONSE_STATUS_UPDATE	0x04F1
SMSG_GMTICKET_CREATE	0x0206
SMSG_GMTICKET_DELETETICKET	0x0218
SMSG_GMTICKET_GETTICKET	0x0212
SMSG_GMTICKET_SYSTEMSTATUS	0x021B
SMSG_GMTICKET_UPDATETEXT	0x0208
SMSG_GM_MESSAGECHAT	0x03B3
SMSG_GM_PLAYER_INFO	0x0230
SMSG_GM_TICKET_STATUS_UPDATE	0x0328
SMSG_GODMODE	0x0405
SMSG_GOGOGO_OBSOLETE	0x03F5
SMSG_GOSSIP_COMPLETE	0x017E
SMSG_GOSSIP_MESSAGE	0x017D
SMSG_GOSSIP_POI	0x0224
SMSG_GROUPACTION_THROTTLED	0x0411
SMSG_GROUP_CANCEL	0x0071
SMSG_GROUP_DECLINE	0x0074
SMSG_GROUP_DESTROYED	0x007C
SMSG_GROUP_INVITE	0x006F
SMSG_GROUP_JOINED_BATTLEGROUND	0x02E8
SMSG_GROUP_LIST	0x007D
SMSG_GROUP_SET_LEADER	0x0079
SMSG_GROUP_UNINVITE	0x0077
SMSG_GUILD_BANK_LIST	0x03E8
SMSG_GUILD_COMMAND_RESULT	0x0093
SMSG_GUILD_DECLINE	0x0086
SMSG_GUILD_EVENT	0x0092
SMSG_GUILD_INFO	0x0088
SMSG_GUILD_INVITE	0x0083
SMSG_GUILD_QUERY_RESPONSE	0x0055
SMSG_GUILD_ROSTER	0x008A
SMSG_HEALTH_UPDATE	0x047F
SMSG_HIGHEST_THREAT_UPDATE	0x0482
SMSG_HOTFIX_NOTIFY_BLOB	0x19B5
SMSG_IGNORE_DIMINISHING_RETURNS_CHEAT	0x0406
SMSG_IGNORE_REQUIREMENTS_CHEAT	0x03A9
SMSG_INITIALIZE_FACTIONS	0x4634
SMSG_INIT_EXTRA_AURA_INFO_OBSOLETE	0x03A3
SMSG_INIT_WORLD_STATES	0x4C15
SMSG_INSPECT_RESULTS_UPDATE	0x0115
SMSG_INSPECT_TALENT	0x03F4
SMSG_INSTANCE_LOCK_WARNING_QUERY	0x0147
SMSG_INSTANCE_RESET	0x031E
SMSG_INSTANCE_RESET_FAILED	0x031F
SMSG_INSTANCE_SAVE_CREATED	0x02CB
SMSG_INVALIDATE_DANCE	0x0453
SMSG_INVALIDATE_PLAYER	0x031C
SMSG_INVALID_PROMOTION_CODE	0x01E7
SMSG_INVENTORY_CHANGE_FAILURE	0x0112
SMSG_ITEM_COOLDOWN	0x00B0
SMSG_ITEM_ENCHANT_TIME_UPDATE	0x01EB
SMSG_ITEM_NAME_QUERY_RESPONSE	0x02C5
SMSG_ITEM_PUSH_RESULT	0x0166
SMSG_ITEM_QUERY_MULTIPLE_RESPONSE	0x0059
SMSG_ITEM_QUERY_SINGLE_RESPONSE	0x0058
SMSG_ITEM_REFUND_INFO_RESPONSE	0x04B2
SMSG_ITEM_REFUND_RESULT	0x04B5
SMSG_ITEM_TEXT_QUERY_RESPONSE	0x0244
SMSG_ITEM_TIME_UPDATE	0x01EA
SMSG_JOINED_BATTLEGROUND_QUEUE	0x038A
SMSG_KICK_REASON	0x03C5
SMSG_LEARNED_DANCE_MOVES	0x0E05
SMSG_LEARNED_SPELL	0x012B
SMSG_LEVELUP_INFO	0x01D4
SMSG_LFG_BOOT_PROPOSAL_UPDATE	0x036D
SMSG_LFG_DISABLED	0x0398
SMSG_LFG_JOIN_RESULT	0x0364
SMSG_LFG_OFFER_CONTINUE	0x0293
SMSG_LFG_PARTY_INFO	0x0372
SMSG_LFG_PLAYER_INFO	0x036F
SMSG_LFG_PLAYER_REWARD	0x01FF
SMSG_LFG_PROPOSAL_UPDATE	0x0361
SMSG_LFG_QUEUE_STATUS	0x0365
SMSG_LFG_ROLE_CHECK_UPDATE	0x0363
SMSG_LFG_ROLE_CHOSEN	0x02BB
SMSG_LFG_TELEPORT_DENIED	0x0200
SMSG_LFG_UPDATE_PARTY	0x0368
SMSG_LFG_UPDATE_PLAYER	0x0367
SMSG_LFG_UPDATE_SEARCH	0x0369
SMSG_LIST_INVENTORY	0x019F
SMSG_LOGIN_SET_TIME_SPEED	0x4D15
SMSG_LOGIN_VERIFY_WORLD	0x2005
SMSG_LOGOUT_CANCEL_ACK	0x6514
SMSG_LOGOUT_COMPLETE	0x2137
SMSG_LOGOUT_RESPONSE	0x0524
SMSG_LOG_XPGAIN	0x01D0
SMSG_LOOT_ALL_PASSED	0x029E
SMSG_LOOT_CLEAR_MONEY	0x0165
SMSG_LOOT_ITEM_NOTIFY	0x0164
SMSG_LOOT_LIST	0x03F9
SMSG_LOOT_MASTER_LIST	0x02A4
SMSG_LOOT_MONEY_NOTIFY	0x0163
SMSG_LOOT_RELEASE_RESPONSE	0x0161
SMSG_LOOT_REMOVED	0x0162
SMSG_LOOT_RESPONSE	0x0160
SMSG_LOOT_ROLL	0x02A2
SMSG_LOOT_ROLL_WON	0x029F
SMSG_LOOT_SLOT_CHANGED	0x04FD
SMSG_LOOT_START_ROLL	0x02A1
SMSG_LOTTERY_QUERY_RESULT_OBSOLETE	0x0335
SMSG_LOTTERY_RESULT_OBSOLETE	0x0337
SMSG_MAIL_LIST_RESULT	0x023B
SMSG_MESSAGECHAT	0x0096
SMSG_MINIGAME_MOVE_FAILED	0x02F9
SMSG_MINIGAME_SETUP	0x02F6
SMSG_MINIGAME_STATE	0x02F7
SMSG_MIRRORIMAGE_DATA	0x0402
SMSG_MODIFY_COOLDOWN	0x0491
SMSG_MONSTER_MOVE	0x6E17
SMSG_MONSTER_MOVE_TRANSPORT	0x02AE
SMSG_MOTD	0x0A35
SMSG_MOUNTRESULT	0x016E
SMSG_MOUNTSPECIAL_ANIM	0x0172
SMSG_MOVE_CHARACTER_CHEAT	0x000E
SMSG_MOVE_FEATHER_FALL	0x00F2
SMSG_MOVE_GRAVITY_DISABLE	0x04CE
SMSG_MOVE_GRAVITY_ENABLE	0x04D0
SMSG_MOVE_KNOCK_BACK	0x00EF
SMSG_MOVE_LAND_WALK	0x00DF
SMSG_MOVE_NORMAL_FALL	0x00F3
SMSG_MOVE_SET_ACTIVE_MOVER	0x11B3
SMSG_MOVE_SET_CAN_FLY	0x0343
SMSG_MOVE_SET_CAN_TRANSITION_BETWEEN_SWIM_AND_FLY	0x033E
SMSG_MOVE_SET_COLLISION_HGT	0x0516
SMSG_MOVE_SET_HOVER	0x00F4
SMSG_MOVE_UNSET_CAN_FLY	0x0344
SMSG_MOVE_UNSET_CAN_TRANSITION_BETWEEN_SWIM_AND_FLY	0x033F
SMSG_MOVE_UNSET_HOVER	0x00F5
SMSG_MOVE_WATER_WALK	0x00DE
SMSG_MULTIPLE_MOVES	0x051E
SMSG_MULTIPLE_PACKETS	0x04CD
SMSG_NAME_QUERY_RESPONSE	0x0051
SMSG_NEW_TAXI_PATH	0x01AF
SMSG_NEW_WORLD	0x79B1
SMSG_NOTIFICATION	0x01CB
SMSG_NOTIFY_DANCE	0x044A
SMSG_NOTIFY_DEST_LOC_SPELL_CAST	0x048E
SMSG_NPC_TEXT_UPDATE	0x0180
SMSG_NPC_WONT_TALK	0x0181
SMSG_OFFER_PETITION_ERROR	0x038F
SMSG_ON_CANCEL_EXPECTED_RIDE_VEHICLE_AURA	0x049D
